id	date	Descrip	Value									
2	201608	valorCompra	140,5404									
2	201609	valorCompra	103,194									
2	201610	valorCompra	100,0188									
2	201611	valorCompra	222,264									
2	201612	valorCompra	355,6224									
2	201501	valorTotalVenda	4914									
2	201502	valorTotalVenda	5896,8									
2	201503	valorTotalVenda	9081,072									
2	201504	valorTotalVenda	8172,9648									
2	201505	valorTotalVenda	8024,36544									
2	201506	valorTotalVenda	9629,238528									
2	201507	valorTotalVenda	13480,93394									
2	201508	valorTotalVenda	21569,4943									
2	201509	valorTotalVenda	19412,54487									
2	201510	valorTotalVenda	16824,20556									
2	201511	valorTotalVenda	11776,94389									
2	201512	valorTotalVenda	14132,33267									
2	201601	valorTotalVenda	16958,7992									
2	201602	valorTotalVenda	16436,98999									
2	201603	valorTotalVenda	13149,592									
2	201604	valorTotalVenda	11834,6328									
2	201605	valorTotalVenda	13187,16226									
2	201606	valorTotalVenda	13187,16226									
2	201607	valorTotalVenda	15824,59471									
2	201608	valorTotalVenda	17407,05418									
2	201609	valorTotalVenda	18746,05835									
2	201610	valorTotalVenda	16871,45251									
2	201611	valorTotalVenda	20245,74302									
2	201612	valorTotalVenda	32393,18883									
2	201501	valorPromedio	189									
2	201502	valorPromedio	226,8									
2	201503	valorPromedio	264,6									
2	201504	valorPromedio	187,11									
2	201505	valorPromedio	187,11									
2	201506	valorPromedio	272,16									
2	201507	valorPromedio	317,52									
2	201508	valorPromedio	362,88									
2	201509	valorPromedio	204,12									
2	201510	valorPromedio	181,44									
2	201511	valorPromedio	171,99									
2	201512	valorPromedio	294,84									
2	201601	valorPromedio	294,84									
2	201602	valorPromedio	221,13									
2	201603	valorPromedio	211,68									
2	201604	valorPromedio	238,14									
2	201605	valorPromedio	317,52									
2	201606	valorPromedio	245,7									
2	201607	valorPromedio	294,84									
2	201608	valorPromedio	270,27									
2	201609	valorPromedio	245,7									
2	201610	valorPromedio	238,14									
2	201611	valorPromedio	317,52									
2	201612	valorPromedio	423,36									
2	201501	valorVendaProme	245,7									
2	201502	valorVendaProme	249,48									
2	201503	valorVendaProme	320,166									
2	201504	valorVendaProme	226,4031									
2	201505	valorVendaProme	246,9852									
2	201506	valorVendaProme	359,2512									
2	201507	valorVendaProme	457,2288									
2	201508	valorVendaProme	522,5472									
2	201509	valorVendaProme	269,4384									
2	201510	valorVendaProme	259,4592									
2	201511	valorVendaProme	290,6631									
2	201512	valorVendaProme	536,6088									
2	201601	valorVendaProme	498,2796									
2	201602	valorVendaProme	340,5402									
2	201603	valorVendaProme	325,9872									
2	201604	valorVendaProme	366,7356									
2	201605	valorVendaProme	454,0536									
2	201606	valorVendaProme	351,351									
2	201607	valorVendaProme	459,9504									
2	201608	valorVendaProme	421,6212									
2	201609	valorVendaProme	378,378									
2	201610	valorVendaProme	366,7356									
2	201611	valorVendaProme	577,8864									
2	201612	valorVendaProme	829,7856									
